,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
66171,84486,0.295,['Heart'],0.246,221671,0.631,0,5nN1jGnCadYk1jYm6oV5zN,0.0,2,0.321,-7.067,0,What About Love?,59,1985-07-06,0.0377,160.63299999999995,0.3,1985,['country' 'pop' 'rock']
111674,143870,0.142,['Thomas Rhett'],0.695,181200,0.6409999999999999,0,63OQWdXMq0Pe6pRpWY5gO0,0.0,7,0.131,-5.807,1,Star Of The Show,59,2016-10-28,0.0261,101.974,0.664,2016,['country' 'rock']
66561,84892,0.121,['Alan Jackson'],0.579,237267,0.8009999999999999,0,2LbOTztU3giUjjYmgtKgj3,7.58e-05,0,0.0821,-7.454,1,Chattahoochee - Extended Mix,59,1989,0.0449,174.755,0.972,1989,['country']
111662,143855,0.0951,['Chris Lane'],0.532,190240,0.883,0,6gXuwld0PRtinePSXV2Vn1,0.0,0,0.304,-2.7430000000000003,0,Fix,59,2016-07-12,0.0352,99.995,0.7,2016,['country']
111623,143811,0.11,"['Tech N9ne', 'Eminem', 'Krizz Kaliko']",0.7090000000000001,295307,0.934,1,33MpATo5CCG2ennj6LAlYq,0.0,10,0.269,-3.512,0,Speedom (Wwc2),59,2015-05-04,0.133,130.083,0.7340000000000001,2015,['country' 'hiphop' 'pop' 'rock']
74502,94859,0.374,['Richard Thompson'],0.488,283493,0.209,0,1KueOLeUZpaNRK2InckxVT,5.05e-06,10,0.103,-19.549,1,1952 Vincent Black Lightning,59,1991-01-01,0.0369,120.63,0.362,1991,['country' 'rock']
90490,115731,0.805,"['Elizabeth Mitchell', 'Levon Helm']",0.536,176720,0.377,0,7xxqKDiaXCzbTRjrCBOpI3,2.48e-05,0,0.326,-10.869000000000002,1,Keep on the Sunny Side,59,2010-10-05,0.0282,94.878,0.7040000000000001,2010,['blues' 'country' 'rock']
116742,150654,0.836,"['Jim Brickman', 'Martina McBride']",0.521,196267,0.263,0,6qWGRBzQMq6DXovBZMSE9d,2.62e-05,1,0.138,-12.711,1,Valentine,59,1997,0.0264,95.448,0.184,1997,['country']
66347,84669,0.217,['George Strait'],0.764,200827,0.333,0,7k1Xm1wy00hCKJDYJL5p1n,1.02e-05,9,0.11,-15.921,1,All My Ex's Live In Texas,59,1987-01-01,0.0308,130.541,0.738,1987,['country']
65871,84173,0.403,['Chris LeDoux'],0.493,245173,0.297,0,28RV5zuHGITT0rvh4NJM6W,0.0,6,0.145,-14.838,0,This Cowboy's Hat,59,1982-01-01,0.0487,90.273,0.436,1982,['country' 'rock']
66757,85098,0.199,['Aaron Tippin'],0.5329999999999999,182280,0.585,0,7s2NbKcFIJuEQumhvtHTAD,0.0,4,0.11,-9.789,1,You've Got to Stand for Something,59,1991-01-29,0.0337,83.40299999999998,0.472,1991,['country' 'rock']
65781,84079,0.188,['The Oak Ridge Boys'],0.825,225627,0.285,0,0mG66FLhO0iZ6XCAGdjpax,0.00131,8,0.0539,-17.491,1,Elvira,59,1981-01-01,0.0326,126.946,0.86,1981,['country' 'pop' 'rock']
65783,84081,0.468,['Billy Squier'],0.534,213533,0.461,0,6g14FUj5zU9FDRwBi963vS,6.43e-05,9,0.036000000000000004,-6.603,0,My Kinda Lover - Remastered,59,1981,0.0361,95.105,0.7829999999999999,1981,['country' 'metal' 'rock']
74756,95160,0.274,['Nas'],0.6779999999999999,290573,0.794,1,5FHXxdJeq1iAE9PjDTEgyd,1.68e-06,10,0.124,-6.186,0,The World Is Yours,59,1994,0.14,87.374,0.54,1994,['country' 'hiphop' 'pop']
65791,84089,0.0178,['Sammy Hagar'],0.276,230507,0.639,0,1XxUDJp9zsjd6tBSvE3la4,0.0,2,0.292,-11.674,1,Heavy Metal,59,1981-01-01,0.0471,186.502,0.643,1981,['country' 'metal' 'rock']
66842,85197,0.198,['Alabama'],0.757,168640,0.69,0,1N9GGOUf8TQqsaPDByZzEF,0.0,9,0.078,-8.645,1,I'm in a Hurry (And Don't Know Why),59,1992-04-03,0.0286,128.654,0.867,1992,['country' 'rock']
66839,85193,0.0907,['Sawyer Brown'],0.64,194320,0.852,0,37JPdGgYcQAJSElj5boJx8,0.0,2,0.151,-6.4060000000000015,1,Some Girls Do,59,1992-01-06,0.028,139.94899999999998,0.903,1992,['country' 'rock']
66667,85000,0.47,"['The Highwaymen', 'Willie Nelson', 'Johnny Cash', 'Waylon Jennings', 'Kris Kristofferson']",0.6829999999999999,247000,0.495,0,4REjaHRPmVb7btssqChJSy,6.979999999999999e-05,10,0.157,-13.877,0,American Remains,59,1990-02-27,0.0422,102.0,0.528,1990,['country' 'pop' 'rock']
104472,134484,0.0249,['John Powell'],0.259,156307,0.583,0,2QTDuJIGKUjR7E2Q6KupIh,0.978,2,0.328,-9.489,1,Test Drive,59,2010-01-01,0.0418,111.153,0.24,2010,['country']
66638,84970,0.226,['Reba McEntire'],0.674,299733,0.517,0,0FtV0YbnnjD7PXpLHFHPhn,0.0,11,0.0697,-11.225,1,Fancy,59,1990-01-01,0.0726,94.98,0.482,1990,['country']
